Name,Address
Six Degrees North Aberdeen,"6 Littlejohn Street, City of Aberdeen, AB10 1FF"
SYMPOSIUM coffee house ABERDEEN,"Spaces, 1 Marischal Square, Aberdeenshire, AB10 1BL"
Mackies 19.2,"4 Marischal Square, Broad Street, City of Aberdeen, AB10 1BL"
Dr Noodles Noodle Bar,"38 Upperkirkgate, City of Aberdeen, AB10 1BA"
Di Maggio's Aberdeen,"Bon Accord Centre, George Street, AB25 1HZ"
NA Aberdeen Ltd T/A Subway,"196 Union Street, City of Aberdeen, AB10 1QS"
The Illicit Still,"22 Netherkirkgate, City of Aberdeen, AB10 1AU"
LAHORE KARAHI,"145 King Street, City of Aberdeen, AB24 5AE"
Granite City Hospitality Ltd T/A Mac's Pizzeria,"Macs Pizzeria, 38 Union Street, City of Aberdeen, AB10 1BD"
Granite City Hospitality Ltd T/A The Esslemont Bar & Restaurant,"The Esslemont Bar & Restaurant, 38 Union Street, City of Aberdeen, AB10 1BD"
LOMBARDA LTD,"2-8, King Street, City of Aberdeen, AB24 5AX"
The Wig,"55-56, Castle Street, City of Aberdeen, AB11 5BA"
Angus & Ale,"28 Adelphi, City of Aberdeen, AB11 5BL"
Red Robin Records Vinyl Cafe,"13 Correction Wynd, City of Aberdeen, AB10 1HP"
Cafe Creo,"171 George Street, City of Aberdeen, AB25 1HX"
Pepe's Piri Piri - Aberdeen,"194-196, King Street, City of Aberdeen, AB24 5BH"
Baguette Express,"191 George Street, City of Aberdeen, AB25 1HX"
Lane7 Aberdeen,"1-2, Shiprow, City of Aberdeen, AB11 5BY"
Combo Cafe & Restaurant Ltd,"Unit 30 -31 Aberdeen Market Village, Market Street, AB11 5PA"
RISHIGA LTD,"210-212, George Street, City of Aberdeen, AB25 1BS"
Blue Spice Aberdeen,"222 George Street, City of Aberdeen, AB25 1BS"
Poldino's Restaurant,"7 Little Belmont Street, City of Aberdeen, AB10 1JG"
Caf4e at Credo,"14-20, John Street, City of Aberdeen, AB25 1BT"
Chop Grill and Bar Aberdeen,"St Andrew Street, AB25 1LR"
Molls Bistro,"Aberdeen Douglas Hotel , 43-45 Market Street, AB11 5EL"
CUP,"9 Little Belmont Street, City of Aberdeen, AB10 1JG"
McDonald's Restaurant,"Garthdee Road, Bridge of Dee, City of Aberdeen, AB10 7QA"
Books and Beans,"22 Belmont Street, City of Aberdeen, AB10 1JH"
"TACO BELL-Union Street, Aberdeen ","123 Union Street, City of Aberdeen, AB11 6BH"
The Tippling House,"4 Belmont Street, AB10 1JE"
LATINWAY,"8 Belmont Street, City of Aberdeen, AB10 1JE"
The Gaslamp Bar ,"42-44, Market Street, City of Aberdeen, AB11 5PL"
Siberia ,"9 Belmont Street, City of Aberdeen, AB10 1JR"
Shri Bheema's Indian Restaurant Ltd,"15-17, Belmont Street, City of Aberdeen, AB10 1JR"
Aberdeen Restaurant Ltd t/a Rehmat's Restaurant,"249 George Street, AB25 1ED"
ABERDEEN DESSERTS LIMITED t/a Krepes n Kones,"251 George Street, AB25 1ED"
Carmelite Hotel,"Stirling Street, City of Aberdeen, AB11 6JU"
Draft House Aberdeen,"33 Exchange Street, City of Aberdeen, AB11 6PH"
The Craftsman Company,"2 Guild Street, City of Aberdeen, AB11 6NE"
The blue elephant tandoori restaurant ,"303 George Street, City of Aberdeen, AB25 1EP"
Chopstix Aberdeen,"Unit 1 Trinity Centre , 155 Union Street , AB11 6BE"
Cafe Ahoy,"Beach Boulevard, City of Aberdeen, AB24 5HP"
Chaophraya,"1 Union Terrace, City of Aberdeen, AB10 1NJ"
Station Hotel,"78 Guild Street, City of Aberdeen, AB11 6GN"
Kirk View Cafe & Bistro ,"27-29, Union Terrace, City of Aberdeen, AB10 1NN"
Jacks Grill & Boho Bar,"150 Union Street, City of Aberdeen, AB10 1QX"
Chopstix Aberdeen Union Square,"5 East Mall, , Union Square, Guild Square, AB11 5RG"
Riksha,"Riksha Unit 6, Upper Level Mall  Union Square , AB11 5RG"
Muffin Break Aberdeen,"2 East Mall, Guild Square, City of Aberdeen, AB11 5RA"
MOZZA RESTAURANT,"12 First Level Mall, Guild Square, City of Aberdeen, AB11 5RG"
BARBURRITO,"11 First Level Mall, Guild Square, City of Aberdeen, AB11 5RG"
MONSOONA,"20 Bridge Street, City of Aberdeen, AB11 6JJ"
KFC,"152 Union Street, City of Aberdeen, AB10 1QT"
Citi Hotel Aberdeen,"3 Bath Street, City of Aberdeen, AB11 6HY"
NA Aberedeen Ltd T/A Subway,"Unit 33, Union Square Shopping Centre, City of Aberdeen, AB11 5RG"
The Globe Inn,"13-15, North Silver Street, City of Aberdeen, AB10 1RJ"
cafe Boheme,"21 Windmill Brae, City of Aberdeen, AB11 6HU"
NAMASTE DELHI,"64 Bridge Street, City of Aberdeen, AB11 6JN"
The Office Bar and Kitchen,"7 Crown Street, City of Aberdeen, AB11 6HA"
Royal Thai,"29 Crown Terrace, City of Aberdeen, AB11 6HD"
SAIGON RESTAURANT,"29a, Crown Terrace, City of Aberdeen, AB11 6HD"
The Stag,"6 Crown Street, City of Aberdeen, AB11 6HB"
BioCafe Limited,"39 Rosemount Viaduct, City of Aberdeen, AB25 1NQ"
Nargile Restaurant,"77-79, Skene Street, City of Aberdeen, AB10 1QD"
CHINATOWN,"11 Dee Street, City of Aberdeen, AB11 6DY"
Butchers Arms,"443 George Street, City of Aberdeen, AB25 3YB"
Amarone Restaurant (Aberdeen),"259 Union Street, AB11 6BR"
Yorokobi by cj ,"51 Huntly Street, City of Aberdeen, AB10 1TH"
So...,"269-271, Union Street, City of Aberdeen, AB11 6BR"
Cafe Andaluz (Aberdeen),"5 Bon Accord Street, City of Aberdeen, AB11 6FX"
Soul,"333 Union Street, City of Aberdeen, AB11 6BS"
Amore,"80-82, Huntly Street, City of Aberdeen, AB10 1TD"
210 Bistro,"210 Market Street, City of Aberdeen, AB11 5PQ"
Vovem Meat and Liquor,"254 Union Street, City of Aberdeen, AB10 1TN"
210 Caboose,"Provender House, 37 Waterloo Quay, City of Aberdeen, AB11 5BS"
The Howff,"365 Union Street, City of Aberdeen, AB11 6BT"
The Braided Fig,"39 Summer Street, City of Aberdeen, AB10 1SB"
TOPO LA BAMBA (ABERDEEN) LIMITED,"367 Union Street, City of Aberdeen, AB11 6BT"
Booktwin Limited TA McNastys,"37 Summer Street, City of Aberdeen, AB10 1SB"
Rustico,"60-62, Union Row, City of Aberdeen, AB10 1SA"
JEWEL IN THE CROWN,"Jewel in the Crown, 145 Crown Street, City of Aberdeen, AB11 6HP"
Aperitivo Restaurant,"15 Bon Accord Street, Aberdeenshire, ab11 6el"
Charles Michie Coffee Shop,"391 Union Street, City of Aberdeen, AB11 6BX"
GELATO ROSEMOUNT,"60 Rosemount Place, City of Aberdeen, AB25 2XJ"
YATAI IZAKAYA,"53 Langstane Place, City of Aberdeen, AB11 6EN"
Holiday Inn Express Aberdeen City Centre,"Chapel Street, City of Aberdeen, AB10 1SQ"
THE ESSENCE INDIAN CUISINE ,"401-405, Union Street, City of Aberdeen, AB11 6BX"
WRAPS ,"21-23, Bon Accord Terrace, City of Aberdeen, AB11 6DP"
The Spiritualist Aberdeen,"67 Langstane Place, City of Aberdeen, AB11 6EN"
Foodstory ,"13 Thistle Street, City of Aberdeen, AB10 1XZ"
John Codonas Pleasure Fairs ltd,"Amusement Park, Esplanade, City of Aberdeen, AB24 5ED"
The Cult of Coffee ,"28 Esslemont Avenue, City of Aberdeen, AB25 1SN"
Premier Tandoori Ltd T/A Shahbaaz Tandoori,"Shahbaaz Tandoori Restaurant, 19 Rose Street, City of Aberdeen, AB10 1TX"
Light Of Bengal,"13,  Rose Street, Scotland, AB10 1TX"
Muchacho,"9-11, Rose Street, City of Aberdeen, AB10 1TX"
Cafe Society,"464-466, Union Street, City of Aberdeen, AB10 1TS"
Thaikhun,"29 First Level Mall, Union Square, AB11 5RJ"
Granite City Hospitality Ltd T/A The Ferryhill House Hotel,"168 Bon Accord Street, AB11 6UA"
West End Cottage,"58-60, Justice Mill Lane, City of Aberdeen, AB11 6EP"
McGintys,"504 Union Street, City of Aberdeen, AB10 1TT"
Jumpin Aberdeen,"Craigshaw Road, City of Aberdeen, AB12 3AP"
Inn At The Park,"3-4, Deemount Terrace, City of Aberdeen, AB11 7RX"
Onsite Catering Scotland Limited,"Greenbank Crescent, East Tullos Ind Estate, AB12 3BG"
The tartan pig,"34 Hollybank Place, City of Aberdeen, AB11 6XS"
FreshMex at the Adams,"The Adams, 145 Holburn Street, AB10 6BN"
The Ashvale Fish Restaurant Ltd,"The Ashvale Fish Restaurant, 42 Great Western Road, City of Aberdeen, AB10 6PY"
Da Vinci Italian Restaurant,"1 Alford Lane, City of Aberdeen, AB10 1NT"
Falafel Delight,"514 Union Street, City of Aberdeen, AB10 1TT"
Social Bite - Union Street,"516 Union Street, City of Aberdeen, AB10 1TT"
The Tasty Thistle,"40-42, Thistle Street, City of Aberdeen, AB10 1XD"
Aberdeen Altens Hotel,"Aberdeen Thistle Hotel, 2 Souter Head Road, City of Aberdeen, AB12 3LF"
Granite City Hospitality Ltd T/A The Silver Darling,"43 Pocra Quay, City of Aberdeen, AB11 5DQ"
COPPA COFFEE,"40 St. Swithin Street, City of Aberdeen, AB10 6XJ"
Granite City Hospitality T/A No 10 Bar & Restaurant,"10 Queens Terrace, City of Aberdeen, AB10 1XL"
